City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Santa Maria,BR,72.21,overcast clouds,-29.6842,-53.8069,Hotel Morotin
341,Flinders,AU,72.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
343,Bubaque,GW,77.63,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
357,Nelson Bay,AU,73.45,light rain,-32.7167,152.15,Mantra Nelson Bay
360,Sao Felix Do Xingu,BR,70.43,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
361,Formosa,AR,75.18,moderate rain,-26.1775,-58.1781,Hotel Portal del Sol
362,Tabou,CI,77.0,light rain,4.423,-7.3528,hotêl doufoulougou
366,Sarakhs,IR,72.19,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
368,Bathsheba,BB,72.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
371,Sao Filipe,CV,72.72,clear sky,14.8961,-24.4956,Hotel Xaguate
386,Turan,VN,71.58,broken clouds,16.0678,108.2208,Sun River Hotel
387,Progreso,MX,75.31,few clouds,21.2833,-89.6667,Playa Linda Hotel
394,Parkes,AU,77.36,overcast clouds,-33.1333,148.1833,Station Motel
396,Nauta,PE,71.19,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
401,Mathathane,BW,74.48,light rain,-22.2687,28.7495,Selepswe Resort
408,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
423,Caucasia,CO,73.69,scattered clouds,7.9865,-75.1935,Hotel San Rafael
432,Layou,VC,74.68,few clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
434,Cabuyaro,CO,79.79,overcast clouds,4.2817,-72.794,Hotel La Cuarta
436,Phalaborwa,ZA,78.06,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
438,Bundaberg,AU,77.76,scattered clouds,-24.85,152.35,Takalvan Motel
441,Ouesso,CG,78.49,scattered clouds,1.6136,16.0517,ABENIE Hotel
444,Venice,US,70.14,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
453,Moron,AR,71.96,moderate rain,-34.6534,-58.6198,Hotel Morón
457,Sao Sebastiao,BR,76.77,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
458,Champerico,GT,77.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
462,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
464,Cockburn Town,TC,75.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
476,Senador Jose Porfirio,BR,72.86,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
486,Cidreira,BR,72.3,few clouds,-30.1811,-50.2056,Hotel Castelo
492,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
495,Dennery,LC,77.09,few clouds,13.8996,-60.8879,The Fox Grove Inn
496,Farafangana,MG,78.19,moderate rain,-22.8167,47.8333,Miarina
498,Myitkyina,MM,73.11,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
499,Kamakhyanagar,IN,77.02,clear sky,20.9333,85.55,Panchu Bhai Hotel
503,Ndjole,GA,75.45,overcast clouds,-0.1783,10.7649,Motel Kédyann
507,Pimenta Bueno,BR,70.93,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
511,Oranjestad,AW,78.46,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
515,Jiwani,PK,73.72,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
528,Chabahar,IR,73.44,clear sky,25.2919,60.643,هتل گدروشیا
533,Lethem,GY,74.62,overcast clouds,3.3803,-59.7968,Savannah Inn
534,Paratinga,BR,71.15,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
536,Mozarlandia,BR,71.83,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
538,Rock Sound,BS,75.49,clear sky,24.9,-76.2,Pink Corral Bay Property
542,Nisia Floresta,BR,74.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
546,Ocos,GT,77.0,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
549,Loandjili,CG,78.44,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
551,Muriwai Beach,NZ,74.35,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
552,Camocim,BR,75.61,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
553,Xique-Xique,BR,74.77,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
557,Harper,LR,77.38,light rain,4.375,-7.7169,Screensaver
563,Mareeba,AU,77.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
569,Ladario,BR,73.9,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
570,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
576,San Juan Del Sur,NI,76.75,few clouds,11.2529,-85.8705,Nuestra Casa
579,Beni,CD,77.45,overcast clouds,0.5,29.4667,Albertine hotel
580,Natal,BR,74.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
583,Sinnamary,GF,75.83,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
587,Cururupu,BR,73.4,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
590,Playas,EC,74.84,light rain,-2.6333,-80.3833,Hostal Promenade
592,Nortelandia,BR,71.24,broken clouds,-14.4547,-56.8028,Hotel Karysmã
593,Maua,BR,71.37,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
611,Bandarbeyla,SO,78.96,clear sky,9.4942,50.8122,JABIR HOTEL
616,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
620,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
628,Gemena,CD,77.7,overcast clouds,3.25,19.7667,Hôtel Goshen
633,Puerto Leguizamo,CO,70.54,overcast clouds,-0.1934,-74.7819,la casona de juancho
635,Najran,SA,75.63,clear sky,17.4924,44.1277,محمد هادي ال فطيح
636,Luzilandia,BR,72.66,moderate rain,-3.4578,-42.3703,Pousada Pontes
642,Isangel,VU,78.26,overcast clouds,-19.55,169.2667,Tanna Lodge
645,Anloga,GH,79.38,light rain,5.7947,0.8973,Pin Drop Hotel
653,Nong Khai,TH,79.38,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
662,Mabaruma,GY,73.22,broken clouds,8.2,-59.7833,Monty Brooms Guest House
666,Novita,CO,72.32,light rain,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
679,Ewo,CG,76.84,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
681,Caravelas,BR,75.78,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
687,Presidencia Roque Saenz Pena,AR,70.38,overcast clouds,-26.7852,-60.4388,Hotel Gualok
688,Mfou,CM,70.2,overcast clouds,3.7159,11.6427,Maison Du Juge Noah
689,Santa Maria Da Boa Vista,BR,73.99,few clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
690,Sao Joao De Pirabas,BR,75.47,overcast clouds,-0.7747,-47.1772,POUSADA SOL E MAR
