City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Ruteng,ID,-8.6136,120.4721,70.48,81,99,2.82,overcast clouds
297,Torbay,CA,47.6666,-52.7314,34.57,99,100,5.75,light rain
298,Mao,ES,39.8885,4.2658,48.76,93,20,4.61,few clouds
299,Baft,IR,29.234,56.6057,53.56,43,63,22.26,broken clouds
300,Tehachapi,US,35.1322,-118.449,44.46,33,0,3.0,clear sky
301,Syracuse,IT,37.0881,15.2792,53.89,68,55,3.38,broken clouds
302,Huaihua,CN,27.5494,109.9592,51.26,50,27,4.79,scattered clouds
303,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.68,99,100,2.13,moderate rain
304,Polis,CY,35.0367,32.4264,53.29,88,1,8.63,clear sky
305,Balabac,PH,7.9868,117.0645,79.81,84,100,20.38,heavy intensity rain
306,Podor,MR,16.6527,-14.9587,70.38,10,0,9.31,clear sky
307,Tianpeng,CN,30.9866,103.9393,45.61,74,100,4.14,overcast clouds
308,Hambantota,LK,6.1241,81.1185,89.94,62,20,4.61,few clouds
309,Port Hedland,AU,-20.3167,118.5667,91.45,66,40,20.71,scattered clouds
310,Santarem,BR,-2.4431,-54.7083,75.33,94,75,3.44,thunderstorm
311,Laela,TZ,-8.5667,32.05,60.62,94,100,3.15,overcast clouds
312,Poopo,BO,-18.3667,-66.9667,42.17,84,62,1.95,broken clouds
313,Coquimbo,CL,-29.9533,-71.3436,65.84,81,0,3.2,clear sky
314,Ancud,CL,-41.8697,-73.8203,51.22,91,5,1.95,clear sky
315,Sitka,US,57.0531,-135.33,42.69,81,100,9.22,light rain
316,Garowe,SO,8.4054,48.4845,77.63,23,6,9.06,clear sky
317,Ewa Beach,US,21.3156,-158.0072,72.99,74,0,4.0,clear sky
318,Mizdah,LY,31.4451,12.9801,47.68,34,6,8.21,clear sky
319,Jumla,NP,29.2747,82.1838,44.87,40,3,6.13,clear sky
320,Atar,MR,20.5169,-13.0499,66.16,12,100,6.13,overcast clouds
321,Cartagena,CO,10.3997,-75.5144,76.98,83,8,19.3,clear sky
322,Phetchaburi,TH,12.9667,99.5833,81.0,60,100,4.76,overcast clouds
323,Cayenne,GF,4.9333,-52.3333,80.1,86,75,5.01,moderate rain
324,Beaune,FR,47.0833,4.75,31.62,91,14,2.71,few clouds
325,Poum,NC,-20.2333,164.0167,81.34,72,94,10.69,overcast clouds
326,Sulina,RO,45.1559,29.6536,37.47,75,77,7.52,broken clouds
327,Raudeberg,NO,61.9875,5.1352,37.2,78,99,8.99,overcast clouds
328,Vostok,RU,46.4856,135.8833,-0.96,91,100,5.79,overcast clouds
329,Areka,ET,7.0667,37.7,74.66,18,10,3.4,clear sky
330,Thompson,CA,55.7435,-97.8558,-36.4,100,25,0.98,scattered clouds
331,Bam,IR,29.106,58.357,77.47,17,0,11.88,clear sky
332,Bosaso,SO,11.2842,49.1816,81.21,37,2,2.21,clear sky
333,Necochea,AR,-38.5473,-58.7368,64.04,81,100,9.8,light rain
334,Port Augusta,AU,-32.5,137.7667,92.71,21,1,15.12,clear sky
335,Kindu,CD,-2.95,25.95,72.72,89,98,3.83,overcast clouds
336,Poso,ID,-1.3959,120.7524,84.22,71,100,4.63,overcast clouds
337,Santa Maria,BR,-29.6842,-53.8069,72.21,92,100,3.42,overcast clouds
338,Asau,RO,46.4333,26.4,25.72,62,100,6.33,overcast clouds
339,Tautira,PF,-17.7333,-149.15,80.01,69,8,15.28,clear sky
340,Hami,CN,42.8,93.45,32.59,21,100,7.07,overcast clouds
341,Flinders,AU,-34.5833,150.8552,72.05,68,81,8.01,broken clouds
342,Villa De Reyes,MX,21.8,-100.9333,37.67,85,100,7.0,overcast clouds
343,Bubaque,GW,11.2833,-15.8333,77.63,56,0,9.51,clear sky
344,Singaraja,ID,-8.112,115.0882,86.97,80,100,4.81,overcast clouds
345,Pontian Kecil,MY,1.4801,103.3899,87.84,67,100,6.73,overcast clouds
